compound,river,date_sampled,year,result,result_unit,group
Thiabendazole,Winter River,09/14/2011 12:00:00 AM,2011,< 0.05,ng/ml,Fungicides
Terbacil,West River,08/21/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Metobromuron,Morell River,09/18/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Imidacloprid,Huntley River,08/09/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
Dimethoate,Mill River,07/20/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Diquat,Montague River,07/20/2011 12:00:00 AM,2011,< 10,ng/ml,Herbicides
Metribuzin,Huntley River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Metalaxyl,Huntley River,08/09/2012 12:00:00 AM,2012,< 0.03,ng/ml,Fungicides
Thiamethoxam,Mill River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Hexazinone,Huntley River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Dimethoate,Winter River,08/18/2014 12:00:00 AM,2014,< 0.04,ng/ml,Insecticides
Dinotefuran,Winter River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Chlorothalonil,Dunk River,08/04/2010 12:00:00 AM,2010,< 0.02,ng/ml,Fungicides
Bromoxynil,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Bifenazate,Morell River,05/28/2018 12:00:00 AM,2018,< 0.131,ng/ml,Acaricides
Azoxystrobin,Montague River,05/28/2018 12:00:00 AM,2018,< 0.114,ng/ml,Fungicides
Chlorantraniliprole,Morell River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Rimsulfuron,Dunk River,07/22/2013 12:00:00 AM,2013,< 0.02,ng/ml,Herbicides
Metribuzin,Winter River,07/25/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Metalaxyl,Winter River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Azoxystrobin,Wilmot River,08/21/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Metribuzin,Clyde River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Hexazinone,Mill River,08/10/2011 12:00:00 AM,2011,< 0.06,ng/ml,Herbicides
Terbacil,Morell River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Methamidophos,West River,08/04/2010 12:00:00 AM,2010,< 5.0,ng/ml,Insecticides
Rimsulfuron,Morell River,09/03/2013 12:00:00 AM,2013,< 0.02,ng/ml,Herbicides
Heptachlor,Wilmot River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Dimethoate,Winter River,06/15/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Metobromuron,Clyde River,07/21/2015 12:00:00 AM,2015,< 0.03,ng/ml,Herbicides
Mancozeb,Wilmot River,06/26/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Mancozeb,Wilmot River,06/26/2018 12:00:00 AM,2018,< 100,ng/ml,Fungicides
Benzoylprop-Ethyl,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Thiabendazole,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Chlorpyrifos,Mill River,08/21/2014 12:00:00 AM,2014,< 0.01,ng/ml,Insecticides
Metobromuron,Dunk River,07/22/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Rimsulfuron,Wilmot River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Chlorothalonil,Dunk River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Thiamethoxam,West River,08/12/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Chlorothalonil,Winter River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Cyantraniliprole,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Cyantraniliprole,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Dimethoate,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.255,ng/ml,Insecticides
Propiconazole,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.02,ng/ml,Fungicides
Thiophanate-Methyl,Dunk River,08/12/2010 12:00:00 AM,2010,< 0.1,ng/ml,Fungicides
Propiconazole,Dunk River,08/16/2016 12:00:00 AM,2016,< 0.02,ng/ml,Fungicides
Permethrin,West River,07/19/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Methamidophos,Montague River,08/18/2014 12:00:00 AM,2014,< 5.0,ng/ml,Insecticides
Thiamethoxam,Montague River,09/12/2018 12:00:00 AM,2018,0.01,ng/ml,Insecticides
Metobromuron,Huntley River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Linuron,Montague River,08/21/2014 12:00:00 AM,2014,< 0.02,ng/ml,Herbicides
Clopyralid,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Chlorothalonil,Clyde River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Dimethoate,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.04,ng/ml,Insecticides
Carbofuran,Wilmot River,07/14/2009 12:00:00 AM,2009,< 0.05,ng/ml,Insecticides
Phorate,West River,07/22/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Carbofuran,Clyde River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Propiconazole,Huntley River,07/14/2009 12:00:00 AM,2009,< 0.1,ng/ml,Fungicides
Metribuzin,Morell River,08/16/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Thiabendazole,Mill River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Rimsulfuron,Dunk River,07/26/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Thiophanate-Methyl,Morell River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Fludioxonil,Montague River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Fungicides
Imidacloprid,Montague River,07/20/2011 12:00:00 AM,2011,< 0.1,ng/ml,Insecticides
Metalaxyl,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.03,ng/ml,Fungicides
Thiabendazole,Wilmot River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Propiconazole,West River,08/12/2010 12:00:00 AM,2010,< 0.1,ng/ml,Fungicides
Thiophanate-Methyl,Huntley River,06/15/2017 12:00:00 AM,2017,0.42,ng/ml,Fungicides
Phorate,Dunk River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Azoxystrobin,Montague River,08/18/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Terbacil,Montague River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Metobromuron,Morell River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Thiophanate-Methyl,West River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Dimethoate,West River,09/03/2013 12:00:00 AM,2013,< 0.04,ng/ml,Insecticides
Chlorantraniliprole,Huntley River,08/21/2018 12:00:00 AM,2018,0.11,ng/ml,Insecticides
Hexazinone,West River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Carbofuran,West River,07/14/2010 12:00:00 AM,2010,< 0.05,ng/ml,Insecticides
Carbofuran,West River,07/14/2010 12:00:00 AM,2010,< 0.05,ng/ml,Insecticides
Permethrin,Dunk River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Azinphos-Methyl,Winter River,07/20/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Cypermethrin,Winter River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiabendazole,Clyde River,07/21/2015 12:00:00 AM,2015,< 0.02,ng/ml,Fungicides
Atrazine,Wilmot River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Metobromuron,Wilmot River,09/17/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Sulfoxaflor,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Metiram,Clyde River,08/18/2015 12:00:00 AM,2015,< 1000,ng/ml,Fungicides
Metiram,Clyde River,08/18/2015 12:00:00 AM,2015,< 1000,ng/ml,Fungicides
Imidacloprid,Morell River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Thiacloprid,Mill River,05/28/2018 12:00:00 AM,2018,< 0.0125,ng/ml,Insecticides
Phorate,West River,09/18/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Azinphos-Methyl,Morell River,08/08/2013 12:00:00 AM,2013,< 0.03,ng/ml,Insecticides
Linuron,Montague River,06/15/2017 12:00:00 AM,2017,0.03,ng/ml,Herbicides
Atrazine,Wilmot River,07/26/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Methamidophos,Dunk River,09/13/2016 12:00:00 AM,2016,< 5.0,ng/ml,Insecticides
Flamprop-Isopropyl,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Linuron,Winter River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Metalaxyl,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Imidacloprid,Morell River,08/08/2013 12:00:00 AM,2013,< 0.02,ng/ml,Insecticides
Metribuzin,Clyde River,07/14/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Methoxychlor,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Thiamethoxam,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Dimethoate,Wilmot River,10/05/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Propham,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Imidacloprid,Montague River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Chlorothalonil,Huntley River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Chlorothalonil,Montague River,05/28/2018 12:00:00 AM,2018,< 0.052,ng/ml,Fungicides
Hexazinone,West River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Herbicides
Metalaxyl,Morell River,09/03/2013 12:00:00 AM,2013,< 0.03,ng/ml,Fungicides
Rimsulfuron,Dunk River,08/08/2013 12:00:00 AM,2013,< 0.02,ng/ml,Herbicides
Metobromuron,Wilmot River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Herbicides
Mcpa,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.5,ng/ml,Herbicides
Mcpa,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.5,ng/ml,Herbicides
Simazine,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.075,ng/ml,Herbicides
Butachlor,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.082,ng/ml,Herbicides
Permethrin,Clyde River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Pyridaben,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Linuron,Clyde River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Imidacloprid,Mill River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Thiophanate-Methyl,Montague River,08/21/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Metribuzin,Huntley River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Metribuzin,West River,07/22/2013 12:00:00 AM,2013,< 0.03,ng/ml,Herbicides
Cypermethrin,Morell River,06/27/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Allidochlor,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Cypermethrin,Clyde River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Butachlor,Mill River,05/28/2018 12:00:00 AM,2018,< 0.082,ng/ml,Herbicides
Tetradifon,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Acaricides
Rimsulfuron,Clyde River,08/09/2012 12:00:00 AM,2012,< 0.05,ng/ml,Herbicides
Propiconazole,Wilmot River,07/21/2015 12:00:00 AM,2015,< 0.02,ng/ml,Fungicides
Thiamethoxam,Morell River,07/14/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Thiamethoxam,Morell River,07/14/2010 12:00:00 AM,2010,< 0.01,ng/ml,Insecticides
Endrin,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Metalaxyl,Clyde River,06/26/2018 12:00:00 AM,2018,< 0.03,ng/ml,Fungicides
Methamidophos,Winter River,07/29/2014 12:00:00 AM,2014,< 5.0,ng/ml,Insecticides
Metribuzin,Winter River,08/18/2014 12:00:00 AM,2014,< 0.03,ng/ml,Herbicides
Thiabendazole,Wilmot River,09/16/2015 12:00:00 AM,2015,< 0.02,ng/ml,Fungicides
Rimsulfuron,Huntley River,08/13/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Azoxystrobin,Montague River,07/20/2011 12:00:00 AM,2011,< 0.05,ng/ml,Fungicides
Metalaxyl,West River,08/16/2016 12:00:00 AM,2016,< 0.03,ng/ml,Fungicides
Thiacloprid,Montague River,05/28/2018 12:00:00 AM,2018,< 0.0125,ng/ml,Insecticides
Mcpa,Winter River,07/20/2011 12:00:00 AM,2011,< 0.5,ng/ml,Herbicides
Thiamethoxam,West River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Carbofuran,Dunk River,08/21/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Dimethoate,Clyde River,08/24/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Carbofuran,Montague River,06/27/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Atrazine,Montague River,08/21/2014 12:00:00 AM,2014,< 0.03,ng/ml,Herbicides
Flamprop-Isopropyl,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Cypermethrin,Morell River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Phorate,Montague River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Phorate,Wilmot River,06/26/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Fludioxonil,Montague River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Fungicides
Linuron,Dunk River,07/22/2013 12:00:00 AM,2013,< 0.02,ng/ml,Herbicides
Methamidophos,Wilmot River,09/19/2012 12:00:00 AM,2012,< 5.0,ng/ml,Insecticides
Dimethoate,West River,07/14/2010 12:00:00 AM,2010,< 0.04,ng/ml,Insecticides
Dimethoate,West River,07/14/2010 12:00:00 AM,2010,< 0.04,ng/ml,Insecticides
Dichlofenthion,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Clodinafop-Propargyl,West River,05/28/2018 12:00:00 AM,2018,< 0.152,ng/ml,Herbicides
Imidacloprid,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
Thiophanate-Methyl,Winter River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Chlorpyrifos,West River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metalaxyl,West River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Linuron,Winter River,07/20/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Azoxystrobin,Winter River,08/25/2011 12:00:00 AM,2011,< 0.05,ng/ml,Fungicides
Propiconazole,Morell River,09/18/2013 12:00:00 AM,2013,< 0.02,ng/ml,Fungicides
Fludioxonil,Mill River,08/24/2017 12:00:00 AM,2017,< 0.01,ng/ml,Fungicides
Cypermethrin,Wilmot River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiamethoxam,Mill River,08/25/2011 12:00:00 AM,2011,< 0.01,ng/ml,Insecticides
Terbacil,West River,07/24/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Carbofuran,Montague River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Methamidophos,Clyde River,08/19/2009 12:00:00 AM,2009,< 25,ng/ml,Insecticides
Rimsulfuron,Huntley River,09/16/2015 12:00:00 AM,2015,< 0.02,ng/ml,Herbicides
Rimsulfuron,Winter River,08/10/2011 12:00:00 AM,2011,< 0.05,ng/ml,Herbicides
Thiamethoxam,West River,09/03/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
Imidacloprid,Clyde River,08/09/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
Permethrin,West River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Clothianidin,Clyde River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Imidacloprid,Wilmot River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Atrazine,Dunk River,08/21/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Imidacloprid,Wilmot River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Mancozeb,West River,07/14/2010 12:00:00 AM,2010,< 100,ng/ml,Fungicides
Mancozeb,West River,07/14/2010 12:00:00 AM,2010,< 100,ng/ml,Fungicides
Mancozeb,West River,07/14/2010 12:00:00 AM,2010,< 100,ng/ml,Fungicides
Mancozeb,West River,07/14/2010 12:00:00 AM,2010,< 100,ng/ml,Fungicides
Folpet,West River,05/28/2018 12:00:00 AM,2018,< 0.212,ng/ml,Fungicides
Metalaxyl,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.03,ng/ml,Fungicides
Azinphos-Methyl,Huntley River,09/19/2012 12:00:00 AM,2012,< 0.03,ng/ml,Insecticides
Myclobutanil,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Thiamethoxam,Mill River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Metiram,Huntley River,07/14/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Metiram,Huntley River,07/14/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Thiamethoxam,Wilmot River,07/26/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Chlorothalonil,Wilmot River,07/22/2009 12:00:00 AM,2009,< 0.02,ng/ml,Fungicides
Hexazinone,Wilmot River,08/19/2009 12:00:00 AM,2009,< 0.06,ng/ml,Herbicides
Linuron,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.02,ng/ml,Herbicides
Linuron,Montague River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Metalaxyl,Morell River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Thiabendazole,Huntley River,07/19/2012 12:00:00 AM,2012,< 0.05,ng/ml,Fungicides
Carbofuran,Dunk River,07/22/2013 12:00:00 AM,2013,< 0.02,ng/ml,Insecticides
Metobromuron,Wilmot River,06/15/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Terbacil,Morell River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Herbicides
Azoxystrobin,Mill River,09/14/2011 12:00:00 AM,2011,< 0.05,ng/ml,Fungicides
Azinphos-Methyl,Wilmot River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Insecticides
Mancozeb,Wilmot River,08/13/2015 12:00:00 AM,2015,< 100,ng/ml,Fungicides
Mancozeb,Wilmot River,08/13/2015 12:00:00 AM,2015,< 100,ng/ml,Fungicides
Azinphos-Methyl,Clyde River,10/01/2018 12:00:00 AM,2018,< 0.03,ng/ml,Insecticides
Hexazinone,Winter River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Bromoxynil,Mill River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Linuron,Wilmot River,08/21/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Fludioxonil,Montague River,08/18/2014 12:00:00 AM,2014,< 0.01,ng/ml,Fungicides
Metiram,Mill River,08/10/2011 12:00:00 AM,2011,< 1000,ng/ml,Fungicides
Metiram,Mill River,08/10/2011 12:00:00 AM,2011,< 1000,ng/ml,Fungicides
Paraquat,Huntley River,07/14/2009 12:00:00 AM,2009,< 10,ng/ml,Herbicides
Terbacil,Montague River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Thiophanate-Methyl,West River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Thiamethoxam,Winter River,08/21/2014 12:00:00 AM,2014,< 0.01,ng/ml,Insecticides
Sulfentrazone,Montague River,05/28/2018 12:00:00 AM,2018,< 0.504,ng/ml,Herbicides
Fenamidone,Morell River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Fungicides
Metiram,Clyde River,07/22/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Metiram,Clyde River,07/22/2009 12:00:00 AM,2009,< 1000,ng/ml,Fungicides
Thiamethoxam,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.005,ng/ml,Insecticides
Metiram,Dunk River,08/04/2010 12:00:00 AM,2010,< 1000,ng/ml,Fungicides
Metiram,Dunk River,08/04/2010 12:00:00 AM,2010,< 1000,ng/ml,Fungicides
Clothianidin,Morell River,08/22/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Dimethoate,Morell River,09/03/2013 12:00:00 AM,2013,< 0.04,ng/ml,Insecticides
Fenchlorphos,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Phorate,Huntley River,08/29/2012 12:00:00 AM,2012,< 0.01,ng/ml,Insecticides
Cycloate,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Atrazine,Wilmot River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.03,ng/ml,Insecticides
Azoxystrobin,Winter River,05/28/2018 12:00:00 AM,2018,< 0.114,ng/ml,Fungicides
Phorate,Mill River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Metobromuron,Morell River,09/13/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Phorate,Dunk River,08/21/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Propiconazole,Huntley River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Dichlorprop,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Linuron,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.06,ng/ml,Herbicides
Linuron,Dunk River,07/14/2010 12:00:00 AM,2010,< 0.06,ng/ml,Herbicides
Propiconazole,Huntley River,06/26/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Chlorantraniliprole,Mill River,07/29/2014 12:00:00 AM,2014,0.1,ng/ml,Insecticides
Prometryn,Morell River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Phorate,Dunk River,07/19/2016 12:00:00 AM,2016,< 0.01,ng/ml,Insecticides
Azinphos-Methyl,Montague River,05/28/2018 12:00:00 AM,2018,< 0.511,ng/ml,Insecticides
Chlorantraniliprole,West River,09/13/2016 12:00:00 AM,2016,< 0.02,ng/ml,Insecticides
Cycloate,West River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Azoxystrobin,Wilmot River,07/22/2009 12:00:00 AM,2009,< 0.05,ng/ml,Fungicides
Sulfoxaflor,Huntley River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Carbofuran,Montague River,07/20/2011 12:00:00 AM,2011,< 0.05,ng/ml,Insecticides
Clothianidin,Wilmot River,09/19/2012 12:00:00 AM,2012,0.02,ng/ml,Insecticides
Phorate,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Thiamethoxam,Huntley River,08/13/2015 12:00:00 AM,2015,0.01,ng/ml,Insecticides
Thiophanate-Methyl,Huntley River,08/21/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Hexazinone,Morell River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Chlorantraniliprole,Mill River,05/28/2018 12:00:00 AM,2018,0.11,ng/ml,Insecticides
Chlorantraniliprole,Wilmot River,07/26/2017 12:00:00 AM,2017,0.09,ng/ml,Insecticides
Linuron,Wilmot River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Chlormephos,Morell River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Imidacloprid,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Imazethapyr,Winter River,05/28/2018 12:00:00 AM,2018,< 0.108,ng/ml,Herbicides
Fludioxonil,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Mancozeb,Dunk River,09/03/2013 12:00:00 AM,2013,< 100,ng/ml,Fungicides
Mancozeb,Dunk River,09/03/2013 12:00:00 AM,2013,< 100,ng/ml,Fungicides
Chlorthal-Dimethyl,West River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Herbicides
Hexazinone,Morell River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Herbicides
Azoxystrobin,Clyde River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Linuron,Clyde River,08/19/2009 12:00:00 AM,2009,< 0.06,ng/ml,Herbicides
Linuron,West River,07/22/2013 12:00:00 AM,2013,< 0.02,ng/ml,Herbicides
Cypermethrin,Huntley River,10/05/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Paraquat,West River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Paraquat,West River,07/14/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Difenoconazole,Montague River,05/28/2018 12:00:00 AM,2018,< 0.102,ng/ml,Fungicides
Carbaryl,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.051,ng/ml,Insecticides
Metiram,Huntley River,07/24/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Metiram,Huntley River,07/24/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Cyantraniliprole,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Cyantraniliprole,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Carbofuran,West River,07/24/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Paraquat,Morell River,08/12/2010 12:00:00 AM,2010,< 10,ng/ml,Herbicides
Quinclorac,Morell River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Terbacil,Winter River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Dimethoate,Montague River,08/24/2017 12:00:00 AM,2017,< 0.04,ng/ml,Insecticides
Iprodione,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Fungicides
Atrazine,West River,07/19/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Huntley River,10/05/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
