compound,river,date_sampled,year,result,result_unit,group
Atrazine,West River,08/16/2016 12:00:00 AM,2016,< 0.03,ng/ml,Herbicides
Azinphos-Methyl,Morell River,09/13/2016 12:00:00 AM,2016,< 0.03,ng/ml,Insecticides
Azinphos-Methyl,Montague River,07/29/2014 12:00:00 AM,2014,< 0.03,ng/ml,Insecticides
Azoxystrobin,Morell River,06/15/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Trifloxystrobin,Mill River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Fungicides
Azoxystrobin,Winter River,06/27/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Phorate,Montague River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiophanate-Methyl,Mill River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Rimsulfuron,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Rimsulfuron,Montague River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Methamidophos,Dunk River,07/14/2010 12:00:00 AM,2010,< 5.0,ng/ml,Insecticides
Methamidophos,Dunk River,07/14/2010 12:00:00 AM,2010,< 5.0,ng/ml,Insecticides
Cypermethrin,Dunk River,08/21/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Imidacloprid,Winter River,05/28/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiamethoxam,Montague River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Terbufos,Winter River,05/28/2018 12:00:00 AM,2018,< 0.053,ng/ml,Insecticides
Cypermethrin,Huntley River,07/24/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Linuron,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Herbicides
Famoxadone,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.154,ng/ml,Fungicides
Propiconazole,Montague River,08/10/2011 12:00:00 AM,2011,< 0.1,ng/ml,Fungicides
Imidacloprid,Montague River,07/29/2014 12:00:00 AM,2014,< 0.02,ng/ml,Insecticides
Metalaxyl,Huntley River,07/22/2009 12:00:00 AM,2009,< 0.03,ng/ml,Fungicides
Metalaxyl,Morell River,08/17/2016 12:00:00 AM,2016,< 0.03,ng/ml,Fungicides
Methoxychlor,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.025,ng/ml,Insecticides
Imidacloprid,West River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Metobromuron,Morell River,08/12/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Thiophanate-Methyl,Morell River,09/28/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Propiconazole,Clyde River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Fungicides
Thiabendazole,Dunk River,08/17/2016 12:00:00 AM,2016,0.17,ng/ml,Fungicides
Chlorpyrifos,Clyde River,07/20/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Cypermethrin,Montague River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Imidacloprid,Dunk River,08/24/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Mancozeb,Huntley River,09/19/2012 12:00:00 AM,2012,< 100,ng/ml,Fungicides
Mancozeb,Huntley River,09/19/2012 12:00:00 AM,2012,< 100,ng/ml,Fungicides
Methamidophos,Huntley River,09/28/2017 12:00:00 AM,2017,< 5.0,ng/ml,Insecticides
Paraquat,Winter River,08/25/2011 12:00:00 AM,2011,< 10,ng/ml,Herbicides
Diquat,Huntley River,08/29/2012 12:00:00 AM,2012,< 10,ng/ml,Herbicides
Chlorpyrifos,Montague River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Chlorantraniliprole,Wilmot River,09/17/2009 12:00:00 AM,2009,< 0.1,ng/ml,Insecticides
Imidacloprid,Huntley River,07/19/2012 12:00:00 AM,2012,< 0.1,ng/ml,Insecticides
Chlorothalonil,Mill River,09/09/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Thiamethoxam,Dunk River,09/28/2017 12:00:00 AM,2017,< 0.01,ng/ml,Insecticides
Linuron,West River,08/17/2016 12:00:00 AM,2016,< 0.02,ng/ml,Herbicides
Chlorothalonil,Morell River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Linuron,Dunk River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Metribuzin,Montague River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Herbicides
Thiophanate-Methyl,Dunk River,07/26/2017 12:00:00 AM,2017,0.04,ng/ml,Fungicides
Cypermethrin,Clyde River,10/01/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Azinphos-Methyl,Winter River,09/12/2018 12:00:00 AM,2018,< 0.03,ng/ml,Insecticides
Dimethoate,Mill River,07/24/2018 12:00:00 AM,2018,< 0.04,ng/ml,Insecticides
Clothianidin,Morell River,09/12/2018 12:00:00 AM,2018,< 0.01,ng/ml,Insecticides
Thiabendazole,Dunk River,08/12/2010 12:00:00 AM,2010,< 0.05,ng/ml,Fungicides
Thiophanate-Methyl,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.1,ng/ml,Fungicides
Metalaxyl,Huntley River,08/29/2012 12:00:00 AM,2012,< 0.03,ng/ml,Fungicides
Carbofuran,West River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Insecticides
Atrazine,Morell River,08/12/2010 12:00:00 AM,2010,< 0.03,ng/ml,Herbicides
Metalaxyl,West River,08/04/2010 12:00:00 AM,2010,< 0.03,ng/ml,Fungicides
Metalaxyl,Morell River,09/28/2017 12:00:00 AM,2017,< 0.03,ng/ml,Fungicides
Imidacloprid,Dunk River,10/05/2017 12:00:00 AM,2017,< 0.02,ng/ml,Insecticides
Azoxystrobin,Clyde River,08/22/2018 12:00:00 AM,2018,< 0.02,ng/ml,Fungicides
Dieldrin,Winter River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Insecticides
Chlorothalonil,Montague River,09/09/2014 12:00:00 AM,2014,< 0.02,ng/ml,Fungicides
Prometryn,Clyde River,05/28/2018 12:00:00 AM,2018,< 0.026,ng/ml,Herbicides
Azoxystrobin,Clyde River,08/29/2012 12:00:00 AM,2012,< 0.05,ng/ml,Fungicides
Metiram,Wilmot River,09/12/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Metiram,Wilmot River,09/12/2018 12:00:00 AM,2018,< 1000,ng/ml,Fungicides
Ethion,Mill River,05/28/2018 12:00:00 AM,2018,< 0.054,ng/ml,Insecticides
Metribuzin,Clyde River,07/25/2018 12:00:00 AM,2018,< 0.03,ng/ml,Herbicides
Oxyfluorfen,West River,05/28/2018 12:00:00 AM,2018,< 0.123,ng/ml,Herbicides
Azinphos-Methyl,Mill River,08/24/2017 12:00:00 AM,2017,< 0.03,ng/ml,Insecticides
Linuron,Mill River,10/01/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Hexazinone,Huntley River,09/12/2018 12:00:00 AM,2018,< 0.02,ng/ml,Herbicides
Terbacil,Winter River,06/15/2017 12:00:00 AM,2017,< 0.01,ng/ml,Herbicides
Difenoconazole,Dunk River,05/28/2018 12:00:00 AM,2018,< 0.102,ng/ml,Fungicides
Captan,Montague River,05/28/2018 12:00:00 AM,2018,< 0.059,ng/ml,Fungicides
Chlorothalonil,West River,05/28/2018 12:00:00 AM,2018,< 0.052,ng/ml,Fungicides
Propiconazole,Huntley River,08/29/2012 12:00:00 AM,2012,< 0.1,ng/ml,Fungicides
Metalaxyl,Wilmot River,08/29/2012 12:00:00 AM,2012,< 0.03,ng/ml,Fungicides
Methamidophos,Clyde River,08/18/2015 12:00:00 AM,2015,< 5.0,ng/ml,Insecticides
Thiamethoxam,Morell River,09/18/2013 12:00:00 AM,2013,< 0.01,ng/ml,Insecticides
